ticker,time,open,high,low,close,volume
SHS,2023-09-11 02:00:00,16.06,16.23,15.9,16.06,3554000
SHS,2023-09-11 03:00:00,16.06,16.15,15.98,16.06,2108200
SHS,2023-09-11 04:00:00,16.06,16.06,15.98,15.98,1582800
SHS,2023-09-11 06:00:00,15.98,16.49,15.81,16.23,8732400
SHS,2023-09-11 07:00:00,16.23,16.32,15.9,15.9,6390100
SHS,2023-09-12 02:00:00,15.73,16.15,15.73,16.06,2664400
SHS,2023-09-12 03:00:00,16.06,16.4,15.98,16.32,5040700
SHS,2023-09-12 04:00:00,16.32,16.4,16.23,16.32,1363300
SHS,2023-09-12 06:00:00,16.32,16.74,16.32,16.66,9431900
SHS,2023-09-12 07:00:00,16.74,17.33,16.66,17.33,8700500
SHS,2023-09-13 02:00:00,17.42,17.5,17.16,17.33,3150400
SHS,2023-09-13 03:00:00,17.33,17.42,17.16,17.33,1712500
SHS,2023-09-13 04:00:00,17.25,17.5,17.25,17.42,1519200
SHS,2023-09-13 06:00:00,17.33,17.5,17.16,17.33,5925300
SHS,2023-09-13 07:00:00,17.33,17.33,16.74,17.16,6629700
SHS,2023-09-14 02:00:00,17.25,17.25,16.74,16.99,3154600
SHS,2023-09-14 03:00:00,16.99,16.99,16.74,16.99,3859800
SHS,2023-09-14 04:00:00,16.99,16.99,16.74,16.91,1367300
SHS,2023-09-14 06:00:00,16.83,16.83,16.4,16.83,12538000
SHS,2023-09-14 07:00:00,16.83,17.16,16.57,16.57,5823000
SHS,2023-09-15 02:00:00,16.57,16.83,16.57,16.74,1757800
SHS,2023-09-15 03:00:00,16.74,16.83,16.4,16.49,2752000
SHS,2023-09-15 04:00:00,16.49,16.57,16.32,16.4,2222900
SHS,2023-09-15 06:00:00,16.4,16.74,16.32,16.74,5037100
SHS,2023-09-15 07:00:00,16.74,16.83,16.32,16.57,4170700
SHS,2023-09-18 02:00:00,16.49,16.66,16.32,16.4,2700400
