ticker,time,open,high,low,close,volume
PET,2023-09-11 02:15:00,30.1,30.2,30.1,30.2,6300
PET,2023-09-11 02:16:00,30.1,30.2,30.1,30.1,900
PET,2023-09-11 02:17:00,30.2,30.2,30.2,30.2,3200
PET,2023-09-11 02:18:00,30.2,30.2,30.2,30.2,800
PET,2023-09-11 02:19:00,30.3,30.3,30.2,30.25,3200
PET,2023-09-11 02:20:00,30.25,30.25,30.2,30.2,700
PET,2023-09-11 02:21:00,30.2,30.2,30.15,30.15,4400
PET,2023-09-11 02:22:00,30.1,30.1,30.0,30.1,9500
PET,2023-09-11 02:23:00,30.1,30.1,30.1,30.1,900
PET,2023-09-11 02:24:00,30.05,30.05,30.0,30.0,2100
PET,2023-09-11 02:25:00,30.0,30.0,30.0,30.0,2200
PET,2023-09-11 02:26:00,30.0,30.1,29.95,29.95,4900
PET,2023-09-11 02:27:00,29.95,30.0,29.95,30.0,1800
PET,2023-09-11 02:28:00,30.0,30.0,30.0,30.0,5200
PET,2023-09-11 02:29:00,30.1,30.1,30.0,30.05,600
PET,2023-09-11 02:30:00,30.05,30.05,30.05,30.05,200
PET,2023-09-11 02:31:00,30.1,30.1,30.1,30.1,900
PET,2023-09-11 02:32:00,30.1,30.1,30.1,30.1,4700
PET,2023-09-11 02:33:00,30.1,30.1,30.1,30.1,12000
PET,2023-09-11 02:34:00,30.05,30.05,30.05,30.05,9300
PET,2023-09-11 02:35:00,30.05,30.05,30.05,30.05,4100
PET,2023-09-11 02:36:00,30.05,30.05,30.05,30.05,2000
PET,2023-09-11 02:37:00,30.1,30.1,30.1,30.1,2000
PET,2023-09-11 02:38:00,30.05,30.1,30.05,30.1,10600
PET,2023-09-11 02:39:00,30.1,30.2,30.1,30.2,21400
PET,2023-09-11 02:40:00,30.25,30.3,30.25,30.3,6400
PET,2023-09-11 02:41:00,30.3,30.3,30.25,30.3,2400
PET,2023-09-11 02:42:00,30.3,30.35,30.3,30.3,20200
PET,2023-09-11 02:43:00,30.35,30.4,30.3,30.4,5700
PET,2023-09-11 02:44:00,30.4,30.4,30.3,30.3,2900
PET,2023-09-11 02:45:00,30.3,30.3,30.3,30.3,800
PET,2023-09-11 02:46:00,30.35,30.4,30.35,30.4,1900
PET,2023-09-11 02:47:00,30.4,30.4,30.4,30.4,500
PET,2023-09-11 02:48:00,30.4,30.45,30.35,30.45,14100
PET,2023-09-11 02:49:00,30.45,30.45,30.45,30.45,100
PET,2023-09-11 02:50:00,30.45,30.45,30.45,30.45,500
PET,2023-09-11 02:51:00,30.45,30.45,30.45,30.45,10500
PET,2023-09-11 02:52:00,30.45,30.5,30.45,30.5,4500
PET,2023-09-11 02:53:00,30.45,30.45,30.45,30.45,6000
PET,2023-09-11 02:54:00,30.4,30.4,30.4,30.4,4600
PET,2023-09-11 02:55:00,30.4,30.4,30.4,30.4,2100
PET,2023-09-11 02:56:00,30.45,30.45,30.45,30.45,2500
PET,2023-09-11 02:57:00,30.45,30.45,30.4,30.4,5600
PET,2023-09-11 02:58:00,30.45,30.45,30.4,30.4,4000
PET,2023-09-11 02:59:00,30.4,30.4,30.4,30.4,900
PET,2023-09-11 03:00:00,30.45,30.5,30.45,30.5,1300
PET,2023-09-11 03:01:00,30.5,30.5,30.45,30.45,1400
PET,2023-09-11 03:02:00,30.45,30.45,30.45,30.45,3300
PET,2023-09-11 03:03:00,30.45,30.45,30.45,30.45,3200
PET,2023-09-11 03:04:00,30.45,30.45,30.4,30.4,1100
PET,2023-09-11 03:05:00,30.4,30.4,30.4,30.4,7600
PET,2023-09-11 03:06:00,30.4,30.4,30.4,30.4,1000
PET,2023-09-11 03:07:00,30.4,30.4,30.4,30.4,200
PET,2023-09-11 03:08:00,30.45,30.45,30.45,30.45,300
PET,2023-09-11 03:09:00,30.45,30.45,30.4,30.4,2100
PET,2023-09-11 03:10:00,30.45,30.45,30.45,30.45,6600
PET,2023-09-11 03:11:00,30.5,30.5,30.5,30.5,400
PET,2023-09-11 03:12:00,30.45,30.5,30.45,30.45,1900
PET,2023-09-11 03:13:00,30.5,30.5,30.5,30.5,200
PET,2023-09-11 03:14:00,30.5,30.5,30.5,30.5,26200
PET,2023-09-11 03:15:00,30.5,30.6,30.5,30.6,12600
PET,2023-09-11 03:16:00,30.6,30.7,30.6,30.7,8300
PET,2023-09-11 03:17:00,30.7,30.85,30.7,30.85,19400
PET,2023-09-11 03:18:00,30.9,31.15,30.9,31.15,40000
PET,2023-09-11 03:19:00,31.15,31.15,31.15,31.15,14800
PET,2023-09-11 03:20:00,31.15,31.3,31.15,31.3,25900
PET,2023-09-11 03:21:00,31.35,31.5,31.35,31.45,34900
PET,2023-09-11 03:22:00,31.5,31.5,31.4,31.5,29300
PET,2023-09-11 03:23:00,31.4,31.4,31.35,31.35,15700
PET,2023-09-11 03:24:00,31.3,31.35,31.25,31.35,15000
PET,2023-09-11 03:25:00,31.35,31.35,31.35,31.35,1300
PET,2023-09-11 03:26:00,31.35,31.45,31.35,31.45,27200
PET,2023-09-11 03:27:00,31.45,31.5,31.45,31.5,21900
PET,2023-09-11 03:28:00,31.5,31.6,31.5,31.5,17600
PET,2023-09-11 03:29:00,31.5,31.6,31.5,31.6,4500
PET,2023-09-11 03:30:00,31.6,31.6,31.6,31.6,7700
PET,2023-09-11 03:31:00,31.6,31.6,31.6,31.6,6000
PET,2023-09-11 03:32:00,31.6,31.6,31.6,31.6,2400
PET,2023-09-11 03:33:00,31.6,31.6,31.6,31.6,3400
PET,2023-09-11 03:34:00,31.6,31.65,31.6,31.65,5000
PET,2023-09-11 03:35:00,31.65,31.65,31.65,31.65,3400
PET,2023-09-11 03:36:00,31.65,31.65,31.65,31.65,2100
PET,2023-09-11 03:37:00,31.65,31.65,31.6,31.65,3800
PET,2023-09-11 03:38:00,31.7,31.7,31.7,31.7,8700
PET,2023-09-11 03:39:00,31.7,31.75,31.7,31.75,5600
PET,2023-09-11 03:40:00,31.75,31.75,31.75,31.75,15300
PET,2023-09-11 03:41:00,31.75,31.8,31.75,31.8,3100
PET,2023-09-11 03:42:00,31.8,31.8,31.8,31.8,18100
PET,2023-09-11 03:43:00,31.8,31.8,31.8,31.8,6600
PET,2023-09-11 03:44:00,31.8,31.8,31.8,31.8,6500
PET,2023-09-11 03:45:00,31.8,31.8,31.8,31.8,11800
PET,2023-09-11 03:46:00,31.8,31.8,31.8,31.8,13200
PET,2023-09-11 03:47:00,31.75,31.8,31.75,31.75,17000
PET,2023-09-11 03:48:00,31.75,31.8,31.75,31.75,4600
PET,2023-09-11 03:49:00,31.75,31.8,31.65,31.65,26700
PET,2023-09-11 03:50:00,31.65,31.65,31.65,31.65,2800
PET,2023-09-11 03:51:00,31.65,31.65,31.55,31.55,5000
PET,2023-09-11 03:52:00,31.55,31.55,31.55,31.55,6300
PET,2023-09-11 03:53:00,31.5,31.5,31.5,31.5,2500
PET,2023-09-11 03:54:00,31.5,31.5,31.5,31.5,2200
PET,2023-09-11 03:55:00,31.45,31.45,31.4,31.4,2400
PET,2023-09-11 03:56:00,31.4,31.5,31.4,31.5,4500
PET,2023-09-11 03:57:00,31.5,31.5,31.5,31.5,2700
PET,2023-09-11 03:58:00,31.5,31.5,31.5,31.5,1300
PET,2023-09-11 03:59:00,31.5,31.5,31.45,31.45,3500
PET,2023-09-11 04:00:00,31.45,31.45,31.45,31.45,500
PET,2023-09-11 04:01:00,31.45,31.45,31.45,31.45,300
PET,2023-09-11 04:02:00,31.45,31.45,31.45,31.45,200
PET,2023-09-11 04:03:00,31.4,31.4,31.4,31.4,1000
PET,2023-09-11 04:04:00,31.4,31.4,31.4,31.4,1800
PET,2023-09-11 04:05:00,31.4,31.4,31.4,31.4,6300
PET,2023-09-11 04:07:00,31.3,31.3,31.3,31.3,1100
PET,2023-09-11 04:08:00,31.3,31.3,31.3,31.3,500
PET,2023-09-11 04:10:00,31.3,31.3,31.3,31.3,200
PET,2023-09-11 04:11:00,31.3,31.3,31.3,31.3,200
PET,2023-09-11 04:12:00,31.25,31.25,31.25,31.25,1500
PET,2023-09-11 04:13:00,31.25,31.25,31.25,31.25,800
PET,2023-09-11 04:14:00,31.25,31.25,31.25,31.25,6000
PET,2023-09-11 04:15:00,31.15,31.15,31.15,31.15,3200
PET,2023-09-11 04:16:00,31.15,31.15,31.15,31.15,1400
PET,2023-09-11 04:17:00,31.3,31.3,31.3,31.3,1400
PET,2023-09-11 04:18:00,31.4,31.4,31.4,31.4,100
PET,2023-09-11 04:19:00,31.4,31.45,31.4,31.45,2700
PET,2023-09-11 04:20:00,31.45,31.5,31.45,31.5,10000
PET,2023-09-11 04:21:00,31.5,31.5,31.5,31.5,11500
PET,2023-09-11 04:22:00,31.5,31.5,31.5,31.5,300
PET,2023-09-11 04:23:00,31.6,31.6,31.6,31.6,5800
PET,2023-09-11 04:25:00,31.7,31.7,31.7,31.7,8500
